case_study,session_id,uid_local,group_local,uid_global,group_global,score,rank
case_study_1,5,uid153,4,case_study_1_5_uid153,case_study_1_5_4,5,1
case_study_1,5,uid153,5,case_study_1_5_uid153,case_study_1_5_5,4,8
case_study_1,5,uid153,6,case_study_1_5_uid153,case_study_1_5_6,4,4
case_study_1,5,uid153,7,case_study_1_5_uid153,case_study_1_5_7,3,10
case_study_1,5,uid153,8,case_study_1_5_uid153,case_study_1_5_8,5,2
case_study_1,5,uid153,9,case_study_1_5_uid153,case_study_1_5_9,4,9
case_study_1,5,uid153,10,case_study_1_5_uid153,case_study_1_5_10,5,3
case_study_1,5,uid154,1,case_study_1_5_uid154,case_study_1_5_1,4,7
case_study_1,5,uid154,2,case_study_1_5_uid154,case_study_1_5_2,5,5
case_study_1,5,uid154,3,case_study_1_5_uid154,case_study_1_5_3,4,8
case_study_1,5,uid154,4,case_study_1_5_uid154,case_study_1_5_4,5,6
case_study_1,5,uid154,5,case_study_1_5_uid154,case_study_1_5_5,5,4
case_study_1,5,uid154,6,case_study_1_5_uid154,case_study_1_5_6,5,3
case_study_1,5,uid154,7,case_study_1_5_uid154,case_study_1_5_7,4,9
case_study_1,5,uid154,8,case_study_1_5_uid154,case_study_1_5_8,5,2
case_study_1,5,uid154,9,case_study_1_5_uid154,case_study_1_5_9,3,10
case_study_1,5,uid154,10,case_study_1_5_uid154,case_study_1_5_10,5,1
case_study_1,5,uid155,1,case_study_1_5_uid155,case_study_1_5_1,4,6
case_study_1,5,uid155,2,case_study_1_5_uid155,case_study_1_5_2,3,8
case_study_1,5,uid155,3,case_study_1_5_uid155,case_study_1_5_3,5,3
case_study_1,5,uid155,4,case_study_1_5_uid155,case_study_1_5_4,5,2
case_study_1,5,uid155,5,case_study_1_5_uid155,case_study_1_5_5,4,5
case_study_1,5,uid155,6,case_study_1_5_uid155,case_study_1_5_6,4,4
case_study_1,5,uid155,7,case_study_1_5_uid155,case_study_1_5_7,3,10
case_study_1,5,uid155,8,case_study_1_5_uid155,case_study_1_5_8,5,1
case_study_1,5,uid155,9,case_study_1_5_uid155,case_study_1_5_9,3,9
case_study_1,5,uid155,10,case_study_1_5_uid155,case_study_1_5_10,4,7
case_study_1,5,uid156,1,case_study_1_5_uid156,case_study_1_5_1,5,4
case_study_1,5,uid156,2,case_study_1_5_uid156,case_study_1_5_2,2,8
case_study_1,5,uid156,3,case_study_1_5_uid156,case_study_1_5_3,4,6
case_study_1,5,uid156,4,case_study_1_5_uid156,case_study_1_5_4,5,3
case_study_1,5,uid156,5,case_study_1_5_uid156,case_study_1_5_5,2,7
case_study_1,5,uid156,6,case_study_1_5_uid156,case_study_1_5_6,1,9
case_study_1,5,uid156,7,case_study_1_5_uid156,case_study_1_5_7,4,5
case_study_1,5,uid156,8,case_study_1_5_uid156,case_study_1_5_8,5,1
case_study_1,5,uid156,9,case_study_1_5_uid156,case_study_1_5_9,1,10
case_study_1,5,uid156,10,case_study_1_5_uid156,case_study_1_5_10,5,2
case_study_1,5,uid157,1,case_study_1_5_uid157,case_study_1_5_1,4,6
case_study_1,5,uid157,2,case_study_1_5_uid157,case_study_1_5_2,3,8
case_study_1,5,uid157,3,case_study_1_5_uid157,case_study_1_5_3,5,3
case_study_1,5,uid157,4,case_study_1_5_uid157,case_study_1_5_4,5,5
case_study_1,5,uid157,5,case_study_1_5_uid157,case_study_1_5_5,4,7
case_study_1,5,uid157,6,case_study_1_5_uid157,case_study_1_5_6,5,4
case_study_1,5,uid157,7,case_study_1_5_uid157,case_study_1_5_7,3,9
case_study_1,5,uid157,8,case_study_1_5_uid157,case_study_1_5_8,5,2
case_study_1,5,uid157,9,case_study_1_5_uid157,case_study_1_5_9,3,10
case_study_1,5,uid157,10,case_study_1_5_uid157,case_study_1_5_10,5,1
case_study_1,5,uid158,1,case_study_1_5_uid158,case_study_1_5_1,4,7
case_study_1,5,uid158,2,case_study_1_5_uid158,case_study_1_5_2,5,5
case_study_1,5,uid158,3,case_study_1_5_uid158,case_study_1_5_3,4,6
case_study_1,5,uid158,4,case_study_1_5_uid158,case_study_1_5_4,4,8
case_study_1,5,uid158,5,case_study_1_5_uid158,case_study_1_5_5,5,4
case_study_1,5,uid158,6,case_study_1_5_uid158,case_study_1_5_6,5,2
case_study_1,5,uid158,7,case_study_1_5_uid158,case_study_1_5_7,3,9
case_study_1,5,uid158,8,case_study_1_5_uid158,case_study_1_5_8,5,3
case_study_1,5,uid158,9,case_study_1_5_uid158,case_study_1_5_9,3,10
case_study_1,5,uid158,10,case_study_1_5_uid158,case_study_1_5_10,5,1
case_study_1,5,uid160,1,case_study_1_5_uid160,case_study_1_5_1,4,4
case_study_1,5,uid160,2,case_study_1_5_uid160,case_study_1_5_2,3,7
case_study_1,5,uid160,3,case_study_1_5_uid160,case_study_1_5_3,5,1
case_study_1,5,uid160,4,case_study_1_5_uid160,case_study_1_5_4,3,9
case_study_1,5,uid160,5,case_study_1_5_uid160,case_study_1_5_5,3,8
case_study_1,5,uid160,6,case_study_1_5_uid160,case_study_1_5_6,4,3
case_study_1,5,uid160,7,case_study_1_5_uid160,case_study_1_5_7,4,6
case_study_1,5,uid160,8,case_study_1_5_uid160,case_study_1_5_8,5,2
case_study_1,5,uid160,9,case_study_1_5_uid160,case_study_1_5_9,3,10
case_study_1,5,uid160,10,case_study_1_5_uid160,case_study_1_5_10,4,5
case_study_1,5,uid161,1,case_study_1_5_uid161,case_study_1_5_1,4,6
case_study_1,5,uid161,2,case_study_1_5_uid161,case_study_1_5_2,4,8
case_study_1,5,uid161,3,case_study_1_5_uid161,case_study_1_5_3,5,3
case_study_1,5,uid161,4,case_study_1_5_uid161,case_study_1_5_4,4,7
case_study_1,5,uid161,5,case_study_1_5_uid161,case_study_1_5_5,4,9
case_study_1,5,uid161,6,case_study_1_5_uid161,case_study_1_5_6,5,4
case_study_1,5,uid161,7,case_study_1_5_uid161,case_study_1_5_7,3,10
case_study_1,5,uid161,8,case_study_1_5_uid161,case_study_1_5_8,5,2
case_study_1,5,uid161,9,case_study_1_5_uid161,case_study_1_5_9,5,5
case_study_1,5,uid161,10,case_study_1_5_uid161,case_study_1_5_10,5,1
case_study_1,5,uid162,1,case_study_1_5_uid162,case_study_1_5_1,5,6
case_study_1,5,uid162,2,case_study_1_5_uid162,case_study_1_5_2,5,5
case_study_1,5,uid162,3,case_study_1_5_uid162,case_study_1_5_3,4,8
case_study_1,5,uid162,4,case_study_1_5_uid162,case_study_1_5_4,5,4
case_study_1,5,uid162,5,case_study_1_5_uid162,case_study_1_5_5,4,7
case_study_1,5,uid162,6,case_study_1_5_uid162,case_study_1_5_6,5,3
case_study_1,5,uid162,7,case_study_1_5_uid162,case_study_1_5_7,4,9
case_study_1,5,uid162,8,case_study_1_5_uid162,case_study_1_5_8,5,1
case_study_1,5,uid162,9,case_study_1_5_uid162,case_study_1_5_9,4,10
case_study_1,5,uid162,10,case_study_1_5_uid162,case_study_1_5_10,5,2
case_study_1,5,uid163,1,case_study_1_5_uid163,case_study_1_5_1,5,4
case_study_1,5,uid163,2,case_study_1_5_uid163,case_study_1_5_2,4,7
case_study_1,5,uid163,3,case_study_1_5_uid163,case_study_1_5_3,5,2
case_study_1,5,uid163,4,case_study_1_5_uid163,case_study_1_5_4,4,8
case_study_1,5,uid163,5,case_study_1_5_uid163,case_study_1_5_5,5,3
case_study_1,5,uid163,6,case_study_1_5_uid163,case_study_1_5_6,5,5
case_study_1,5,uid163,7,case_study_1_5_uid163,case_study_1_5_7,4,10
case_study_1,5,uid163,8,case_study_1_5_uid163,case_study_1_5_8,5,6
case_study_1,5,uid163,9,case_study_1_5_uid163,case_study_1_5_9,4,9
case_study_1,5,uid163,10,case_study_1_5_uid163,case_study_1_5_10,5,1
case_study_1,5,uid164,1,case_study_1_5_uid164,case_study_1_5_1,4,7
case_study_1,5,uid164,2,case_study_1_5_uid164,case_study_1_5_2,3,9
case_study_1,5,uid164,3,case_study_1_5_uid164,case_study_1_5_3,4,4
case_study_1,5,uid164,4,case_study_1_5_uid164,case_study_1_5_4,5,2
case_study_1,5,uid164,5,case_study_1_5_uid164,case_study_1_5_5,5,3
case_study_1,5,uid164,6,case_study_1_5_uid164,case_study_1_5_6,4,6
case_study_1,5,uid164,7,case_study_1_5_uid164,case_study_1_5_7,3,8
case_study_1,5,uid164,8,case_study_1_5_uid164,case_study_1_5_8,4,5
case_study_1,5,uid164,9,case_study_1_5_uid164,case_study_1_5_9,2,10
case_study_1,5,uid164,10,case_study_1_5_uid164,case_study_1_5_10,5,1
case_study_1,5,uid165,1,case_study_1_5_uid165,case_study_1_5_1,4,6
case_study_1,5,uid165,2,case_study_1_5_uid165,case_study_1_5_2,4,8
case_study_1,5,uid165,3,case_study_1_5_uid165,case_study_1_5_3,4,5
case_study_1,5,uid165,4,case_study_1_5_uid165,case_study_1_5_4,4,7
case_study_1,5,uid165,5,case_study_1_5_uid165,case_study_1_5_5,3,9
case_study_1,5,uid165,6,case_study_1_5_uid165,case_study_1_5_6,5,3
case_study_1,5,uid165,7,case_study_1_5_uid165,case_study_1_5_7,5,4
case_study_1,5,uid165,8,case_study_1_5_uid165,case_study_1_5_8,5,2
case_study_1,5,uid165,9,case_study_1_5_uid165,case_study_1_5_9,3,10
case_study_1,5,uid165,10,case_study_1_5_uid165,case_study_1_5_10,5,1
case_study_1,5,uid166,1,case_study_1_5_uid166,case_study_1_5_1,4,4
case_study_1,5,uid166,2,case_study_1_5_uid166,case_study_1_5_2,4,6
case_study_1,5,uid166,3,case_study_1_5_uid166,case_study_1_5_3,5,3
case_study_1,5,uid166,4,case_study_1_5_uid166,case_study_1_5_4,5,2
case_study_1,5,uid166,5,case_study_1_5_uid166,case_study_1_5_5,3,8
case_study_1,5,uid166,6,case_study_1_5_uid166,case_study_1_5_6,5,1
case_study_1,5,uid166,7,case_study_1_5_uid166,case_study_1_5_7,3,10
case_study_1,5,uid166,8,case_study_1_5_uid166,case_study_1_5_8,3,7
case_study_1,5,uid166,10,case_study_1_5_uid166,case_study_1_5_10,4,5
case_study_1,5,uid166,9,case_study_1_5_uid166,case_study_1_5_9,3,9
case_study_1,5,uid167,1,case_study_1_5_uid167,case_study_1_5_1,5,1
case_study_1,5,uid167,2,case_study_1_5_uid167,case_study_1_5_2,4,5
case_study_1,5,uid167,3,case_study_1_5_uid167,case_study_1_5_3,4,7
case_study_1,5,uid167,4,case_study_1_5_uid167,case_study_1_5_4,3,9
case_study_1,5,uid167,5,case_study_1_5_uid167,case_study_1_5_5,4,6
case_study_1,5,uid167,6,case_study_1_5_uid167,case_study_1_5_6,3,8
case_study_1,5,uid167,7,case_study_1_5_uid167,case_study_1_5_7,2,10
case_study_1,5,uid167,8,case_study_1_5_uid167,case_study_1_5_8,5,3
case_study_1,5,uid167,9,case_study_1_5_uid167,case_study_1_5_9,4,4
case_study_1,5,uid167,10,case_study_1_5_uid167,case_study_1_5_10,5,2
case_study_1,5,uid168,1,case_study_1_5_uid168,case_study_1_5_1,4,3
case_study_1,5,uid168,2,case_study_1_5_uid168,case_study_1_5_2,3,8
case_study_1,5,uid168,3,case_study_1_5_uid168,case_study_1_5_3,4,5
case_study_1,5,uid168,4,case_study_1_5_uid168,case_study_1_5_4,3,6
case_study_1,5,uid168,5,case_study_1_5_uid168,case_study_1_5_5,4,4
case_study_1,5,uid168,6,case_study_1_5_uid168,case_study_1_5_6,3,7
case_study_1,5,uid168,7,case_study_1_5_uid168,case_study_1_5_7,2,10
case_study_1,5,uid168,8,case_study_1_5_uid168,case_study_1_5_8,5,1
case_study_1,5,uid168,9,case_study_1_5_uid168,case_study_1_5_9,3,9
case_study_1,5,uid168,10,case_study_1_5_uid168,case_study_1_5_10,5,2
case_study_1,5,uid169,1,case_study_1_5_uid169,case_study_1_5_1,5,1
case_study_1,5,uid169,2,case_study_1_5_uid169,case_study_1_5_2,3,10
case_study_1,5,uid169,3,case_study_1_5_uid169,case_study_1_5_3,4,5
case_study_1,5,uid169,4,case_study_1_5_uid169,case_study_1_5_4,3,9
case_study_1,5,uid169,5,case_study_1_5_uid169,case_study_1_5_5,3,8
case_study_1,5,uid169,6,case_study_1_5_uid169,case_study_1_5_6,4,3
case_study_1,5,uid169,7,case_study_1_5_uid169,case_study_1_5_7,4,6
case_study_1,5,uid169,8,case_study_1_5_uid169,case_study_1_5_8,4,4
case_study_1,5,uid169,9,case_study_1_5_uid169,case_study_1_5_9,4,7
case_study_1,5,uid169,10,case_study_1_5_uid169,case_study_1_5_10,5,2
case_study_1,5,uid170,1,case_study_1_5_uid170,case_study_1_5_1,5,2
case_study_1,5,uid170,2,case_study_1_5_uid170,case_study_1_5_2,4,6
case_study_1,5,uid170,3,case_study_1_5_uid170,case_study_1_5_3,3,7
case_study_1,5,uid170,4,case_study_1_5_uid170,case_study_1_5_4,5,4
case_study_1,5,uid170,5,case_study_1_5_uid170,case_study_1_5_5,4,5
case_study_1,5,uid170,6,case_study_1_5_uid170,case_study_1_5_6,5,3
case_study_1,5,uid170,7,case_study_1_5_uid170,case_study_1_5_7,3,9
case_study_1,5,uid170,8,case_study_1_5_uid170,case_study_1_5_8,3,8
case_study_1,5,uid170,9,case_study_1_5_uid170,case_study_1_5_9,3,10
case_study_1,5,uid170,10,case_study_1_5_uid170,case_study_1_5_10,5,1
case_study_1,5,uid171,1,case_study_1_5_uid171,case_study_1_5_1,4,5
case_study_1,5,uid171,2,case_study_1_5_uid171,case_study_1_5_2,5,2
case_study_1,5,uid171,3,case_study_1_5_uid171,case_study_1_5_3,4,7
case_study_1,5,uid171,4,case_study_1_5_uid171,case_study_1_5_4,5,4
case_study_1,5,uid171,5,case_study_1_5_uid171,case_study_1_5_5,4,6
case_study_1,5,uid171,6,case_study_1_5_uid171,case_study_1_5_6,5,3
case_study_1,5,uid171,7,case_study_1_5_uid171,case_study_1_5_7,3,9
case_study_1,5,uid171,8,case_study_1_5_uid171,case_study_1_5_8,4,8
case_study_1,5,uid171,9,case_study_1_5_uid171,case_study_1_5_9,3,10
case_study_1,5,uid171,10,case_study_1_5_uid171,case_study_1_5_10,5,1
case_study_1,5,uid172,1,case_study_1_5_uid172,case_study_1_5_1,4,7
case_study_1,5,uid172,2,case_study_1_5_uid172,case_study_1_5_2,5,2
case_study_1,5,uid172,3,case_study_1_5_uid172,case_study_1_5_3,4,4
case_study_1,5,uid172,4,case_study_1_5_uid172,case_study_1_5_4,3,9
case_study_1,5,uid172,5,case_study_1_5_uid172,case_study_1_5_5,3,8
case_study_1,5,uid172,6,case_study_1_5_uid172,case_study_1_5_6,4,5
case_study_1,5,uid172,7,case_study_1_5_uid172,case_study_1_5_7,3,10
case_study_1,5,uid172,8,case_study_1_5_uid172,case_study_1_5_8,4,6
case_study_1,5,uid172,9,case_study_1_5_uid172,case_study_1_5_9,5,1
case_study_1,5,uid172,10,case_study_1_5_uid172,case_study_1_5_10,5,3
case_study_1,5,uid173,1,case_study_1_5_uid173,case_study_1_5_1,4,3
case_study_1,5,uid173,2,case_study_1_5_uid173,case_study_1_5_2,5,2
case_study_1,5,uid173,3,case_study_1_5_uid173,case_study_1_5_3,4,7
case_study_1,5,uid173,4,case_study_1_5_uid173,case_study_1_5_4,4,6
case_study_1,5,uid173,5,case_study_1_5_uid173,case_study_1_5_5,3,8
case_study_1,5,uid173,6,case_study_1_5_uid173,case_study_1_5_6,5,1
case_study_1,5,uid173,7,case_study_1_5_uid173,case_study_1_5_7,3,9
case_study_1,5,uid173,8,case_study_1_5_uid173,case_study_1_5_8,4,5
case_study_1,5,uid173,9,case_study_1_5_uid173,case_study_1_5_9,3,10
case_study_1,5,uid173,10,case_study_1_5_uid173,case_study_1_5_10,4,4
case_study_1,5,uid174,1,case_study_1_5_uid174,case_study_1_5_1,4,4
case_study_1,5,uid174,2,case_study_1_5_uid174,case_study_1_5_2,3,5
case_study_1,5,uid174,3,case_study_1_5_uid174,case_study_1_5_3,4,3
case_study_1,5,uid174,4,case_study_1_5_uid174,case_study_1_5_4,3,6
case_study_1,5,uid174,5,case_study_1_5_uid174,case_study_1_5_5,3,8
case_study_1,5,uid174,6,case_study_1_5_uid174,case_study_1_5_6,5,1
case_study_1,5,uid174,7,case_study_1_5_uid174,case_study_1_5_7,2,9
case_study_1,5,uid174,8,case_study_1_5_uid174,case_study_1_5_8,2,10
case_study_1,5,uid174,9,case_study_1_5_uid174,case_study_1_5_9,3,7
case_study_1,5,uid174,10,case_study_1_5_uid174,case_study_1_5_10,5,2
case_study_1,5,uid175,1,case_study_1_5_uid175,case_study_1_5_1,5,1
case_study_1,5,uid175,2,case_study_1_5_uid175,case_study_1_5_2,4,5
case_study_1,5,uid175,3,case_study_1_5_uid175,case_study_1_5_3,5,2
case_study_1,5,uid175,4,case_study_1_5_uid175,case_study_1_5_4,3,7
case_study_1,5,uid175,5,case_study_1_5_uid175,case_study_1_5_5,3,8
case_study_1,5,uid175,6,case_study_1_5_uid175,case_study_1_5_6,4,4
case_study_1,5,uid175,7,case_study_1_5_uid175,case_study_1_5_7,2,9
case_study_1,5,uid175,8,case_study_1_5_uid175,case_study_1_5_8,4,6
case_study_1,5,uid175,9,case_study_1_5_uid175,case_study_1_5_9,2,10
case_study_1,5,uid175,10,case_study_1_5_uid175,case_study_1_5_10,5,3
case_study_1,5,uid177,1,case_study_1_5_uid177,case_study_1_5_1,4,7
case_study_1,5,uid177,2,case_study_1_5_uid177,case_study_1_5_2,4,6
case_study_1,5,uid177,3,case_study_1_5_uid177,case_study_1_5_3,3,8
case_study_1,5,uid177,4,case_study_1_5_uid177,case_study_1_5_4,3,9
case_study_1,5,uid177,5,case_study_1_5_uid177,case_study_1_5_5,3,10
case_study_1,5,uid177,6,case_study_1_5_uid177,case_study_1_5_6,4,5
case_study_1,5,uid177,8,case_study_1_5_uid177,case_study_1_5_8,4,4
case_study_1,5,uid177,7,case_study_1_5_uid177,case_study_1_5_7,4,3
case_study_1,5,uid177,9,case_study_1_5_uid177,case_study_1_5_9,4,2
case_study_1,5,uid177,10,case_study_1_5_uid177,case_study_1_5_10,4,1
case_study_1,5,uid178,1,case_study_1_5_uid178,case_study_1_5_1,5,1
case_study_1,5,uid178,2,case_study_1_5_uid178,case_study_1_5_2,4,6
case_study_1,5,uid178,3,case_study_1_5_uid178,case_study_1_5_3,4,4
case_study_1,5,uid178,4,case_study_1_5_uid178,case_study_1_5_4,3,7
case_study_1,5,uid178,5,case_study_1_5_uid178,case_study_1_5_5,4,5
case_study_1,5,uid178,6,case_study_1_5_uid178,case_study_1_5_6,5,3
case_study_1,5,uid178,7,case_study_1_5_uid178,case_study_1_5_7,3,10
case_study_1,5,uid178,8,case_study_1_5_uid178,case_study_1_5_8,3,8
case_study_1,5,uid178,9,case_study_1_5_uid178,case_study_1_5_9,3,9
case_study_1,5,uid178,10,case_study_1_5_uid178,case_study_1_5_10,5,2
case_study_1,5,uid179,1,case_study_1_5_uid179,case_study_1_5_1,4,7
case_study_1,5,uid179,2,case_study_1_5_uid179,case_study_1_5_2,4,8
case_study_1,5,uid179,3,case_study_1_5_uid179,case_study_1_5_3,5,4
case_study_1,5,uid179,4,case_study_1_5_uid179,case_study_1_5_4,5,2
case_study_1,5,uid179,5,case_study_1_5_uid179,case_study_1_5_5,5,3
case_study_1,5,uid179,6,case_study_1_5_uid179,case_study_1_5_6,5,5
case_study_1,5,uid179,7,case_study_1_5_uid179,case_study_1_5_7,4,9
case_study_1,5,uid179,8,case_study_1_5_uid179,case_study_1_5_8,5,1
case_study_1,5,uid179,9,case_study_1_5_uid179,case_study_1_5_9,3,10
case_study_1,5,uid179,10,case_study_1_5_uid179,case_study_1_5_10,5,6
case_study_1,6,uid196,1,case_study_1_6_uid196,case_study_1_6_1,2,12
case_study_1,6,uid196,2,case_study_1_6_uid196,case_study_1_6_2,4,2
case_study_1,6,uid196,3,case_study_1_6_uid196,case_study_1_6_3,5,1
case_study_1,6,uid196,4,case_study_1_6_uid196,case_study_1_6_4,4,3
case_study_1,6,uid196,5,case_study_1_6_uid196,case_study_1_6_5,3,7
case_study_1,6,uid196,6,case_study_1_6_uid196,case_study_1_6_6,4,4
case_study_1,6,uid196,7,case_study_1_6_uid196,case_study_1_6_7,3,6
case_study_1,6,uid196,8,case_study_1_6_uid196,case_study_1_6_8,3,9
case_study_1,6,uid196,9,case_study_1_6_uid196,case_study_1_6_9,3,8
case_study_1,6,uid196,10,case_study_1_6_uid196,case_study_1_6_10,3,5
case_study_1,6,uid196,11,case_study_1_6_uid196,case_study_1_6_11,3,10
case_study_1,6,uid196,12,case_study_1_6_uid196,case_study_1_6_12,3,11
case_study_1,6,uid197,1,case_study_1_6_uid197,case_study_1_6_1,3,9
case_study_1,6,uid197,2,case_study_1_6_uid197,case_study_1_6_2,5,4
case_study_1,6,uid197,3,case_study_1_6_uid197,case_study_1_6_3,5,3
case_study_1,6,uid197,4,case_study_1_6_uid197,case_study_1_6_4,3,8
case_study_1,6,uid197,5,case_study_1_6_uid197,case_study_1_6_5,3,11
case_study_1,6,uid197,6,case_study_1_6_uid197,case_study_1_6_6,4,6
case_study_1,6,uid197,7,case_study_1_6_uid197,case_study_1_6_7,5,2
case_study_1,6,uid197,8,case_study_1_6_uid197,case_study_1_6_8,4,5
case_study_1,6,uid197,9,case_study_1_6_uid197,case_study_1_6_9,3,12
case_study_1,6,uid197,10,case_study_1_6_uid197,case_study_1_6_10,5,1
case_study_1,6,uid197,11,case_study_1_6_uid197,case_study_1_6_11,3,10
case_study_1,6,uid197,12,case_study_1_6_uid197,case_study_1_6_12,4,7
case_study_1,6,uid198,1,case_study_1_6_uid198,case_study_1_6_1,3,11
case_study_1,6,uid198,2,case_study_1_6_uid198,case_study_1_6_2,4,6
case_study_1,6,uid198,3,case_study_1_6_uid198,case_study_1_6_3,4,9
case_study_1,6,uid198,4,case_study_1_6_uid198,case_study_1_6_4,4,3
case_study_1,6,uid198,5,case_study_1_6_uid198,case_study_1_6_5,4,5
case_study_1,6,uid198,6,case_study_1_6_uid198,case_study_1_6_6,5,1
case_study_1,6,uid198,7,case_study_1_6_uid198,case_study_1_6_7,2,12
case_study_1,6,uid198,8,case_study_1_6_uid198,case_study_1_6_8,4,8
case_study_1,6,uid198,9,case_study_1_6_uid198,case_study_1_6_9,4,2
case_study_1,6,uid198,10,case_study_1_6_uid198,case_study_1_6_10,4,4
case_study_1,6,uid198,11,case_study_1_6_uid198,case_study_1_6_11,4,7
case_study_1,6,uid198,12,case_study_1_6_uid198,case_study_1_6_12,3,10
case_study_1,6,uid199,1,case_study_1_6_uid199,case_study_1_6_1,4,11
case_study_1,6,uid199,2,case_study_1_6_uid199,case_study_1_6_2,4,2
case_study_1,6,uid199,3,case_study_1_6_uid199,case_study_1_6_3,4,3
case_study_1,6,uid199,4,case_study_1_6_uid199,case_study_1_6_4,3,12
case_study_1,6,uid199,5,case_study_1_6_uid199,case_study_1_6_5,4,9
case_study_1,6,uid199,6,case_study_1_6_uid199,case_study_1_6_6,4,8
case_study_1,6,uid199,7,case_study_1_6_uid199,case_study_1_6_7,4,4
case_study_1,6,uid199,8,case_study_1_6_uid199,case_study_1_6_8,5,1
case_study_1,6,uid199,9,case_study_1_6_uid199,case_study_1_6_9,4,7
case_study_1,6,uid199,10,case_study_1_6_uid199,case_study_1_6_10,4,5
case_study_1,6,uid199,11,case_study_1_6_uid199,case_study_1_6_11,4,6
case_study_1,6,uid199,12,case_study_1_6_uid199,case_study_1_6_12,4,10
case_study_1,6,uid200,1,case_study_1_6_uid200,case_study_1_6_1,2,8
case_study_1,6,uid200,2,case_study_1_6_uid200,case_study_1_6_2,3,3
case_study_1,6,uid200,3,case_study_1_6_uid200,case_study_1_6_3,4,2
case_study_1,6,uid200,4,case_study_1_6_uid200,case_study_1_6_4,2,5
case_study_1,6,uid200,5,case_study_1_6_uid200,case_study_1_6_5,1,10
case_study_1,6,uid200,6,case_study_1_6_uid200,case_study_1_6_6,1,11
case_study_1,6,uid200,7,case_study_1_6_uid200,case_study_1_6_7,2,7
case_study_1,6,uid200,8,case_study_1_6_uid200,case_study_1_6_8,3,4
case_study_1,6,uid200,9,case_study_1_6_uid200,case_study_1_6_9,1,9
case_study_1,6,uid200,10,case_study_1_6_uid200,case_study_1_6_10,5,1
case_study_1,6,uid200,11,case_study_1_6_uid200,case_study_1_6_11,2,6
case_study_1,6,uid200,12,case_study_1_6_uid200,case_study_1_6_12,1,12
case_study_1,6,uid201,1,case_study_1_6_uid201,case_study_1_6_1,3,9
case_study_1,6,uid201,2,case_study_1_6_uid201,case_study_1_6_2,3,7
case_study_1,6,uid201,3,case_study_1_6_uid201,case_study_1_6_3,4,3
case_study_1,6,uid201,4,case_study_1_6_uid201,case_study_1_6_4,3,10
case_study_1,6,uid201,5,case_study_1_6_uid201,case_study_1_6_5,2,12
case_study_1,6,uid201,6,case_study_1_6_uid201,case_study_1_6_6,4,6
case_study_1,6,uid201,7,case_study_1_6_uid201,case_study_1_6_7,4,5
case_study_1,6,uid201,8,case_study_1_6_uid201,case_study_1_6_8,5,1
case_study_1,6,uid201,9,case_study_1_6_uid201,case_study_1_6_9,5,2
case_study_1,6,uid201,10,case_study_1_6_uid201,case_study_1_6_10,4,4
case_study_1,6,uid201,11,case_study_1_6_uid201,case_study_1_6_11,3,11
case_study_1,6,uid201,12,case_study_1_6_uid201,case_study_1_6_12,3,8
case_study_1,6,uid202,1,case_study_1_6_uid202,case_study_1_6_1,2,9
case_study_1,6,uid202,2,case_study_1_6_uid202,case_study_1_6_2,4,1
case_study_1,6,uid202,3,case_study_1_6_uid202,case_study_1_6_3,3,4
case_study_1,6,uid202,4,case_study_1_6_uid202,case_study_1_6_4,3,3
case_study_1,6,uid202,5,case_study_1_6_uid202,case_study_1_6_5,1,10
case_study_1,6,uid202,6,case_study_1_6_uid202,case_study_1_6_6,2,8
case_study_1,6,uid202,7,case_study_1_6_uid202,case_study_1_6_7,1,11
case_study_1,6,uid202,8,case_study_1_6_uid202,case_study_1_6_8,3,6
case_study_1,6,uid202,9,case_study_1_6_uid202,case_study_1_6_9,3,7
case_study_1,6,uid202,10,case_study_1_6_uid202,case_study_1_6_10,3,2
case_study_1,6,uid202,11,case_study_1_6_uid202,case_study_1_6_11,3,5
case_study_1,6,uid202,12,case_study_1_6_uid202,case_study_1_6_12,1,12
case_study_1,6,uid203,1,case_study_1_6_uid203,case_study_1_6_1,4,8
case_study_1,6,uid203,2,case_study_1_6_uid203,case_study_1_6_2,5,1
case_study_1,6,uid203,3,case_study_1_6_uid203,case_study_1_6_3,4,7
case_study_1,6,uid203,4,case_study_1_6_uid203,case_study_1_6_4,4,3
case_study_1,6,uid203,5,case_study_1_6_uid203,case_study_1_6_5,4,10
case_study_1,6,uid203,6,case_study_1_6_uid203,case_study_1_6_6,5,2
case_study_1,6,uid203,7,case_study_1_6_uid203,case_study_1_6_7,4,11
case_study_1,6,uid203,8,case_study_1_6_uid203,case_study_1_6_8,4,4
case_study_1,6,uid203,9,case_study_1_6_uid203,case_study_1_6_9,4,9
case_study_1,6,uid203,10,case_study_1_6_uid203,case_study_1_6_10,4,5
case_study_1,6,uid203,11,case_study_1_6_uid203,case_study_1_6_11,4,12
case_study_1,6,uid203,12,case_study_1_6_uid203,case_study_1_6_12,4,6
case_study_1,6,uid205,1,case_study_1_6_uid205,case_study_1_6_1,3,11
case_study_1,6,uid205,2,case_study_1_6_uid205,case_study_1_6_2,4,9
case_study_1,6,uid205,3,case_study_1_6_uid205,case_study_1_6_3,4,8
case_study_1,6,uid205,4,case_study_1_6_uid205,case_study_1_6_4,5,6
case_study_1,6,uid205,5,case_study_1_6_uid205,case_study_1_6_5,5,4
case_study_1,6,uid205,6,case_study_1_6_uid205,case_study_1_6_6,5,3
